matched_order	archived_outcome	innovation_seed	l2_id	l4_id	map_name	iid_outcome	ar1_outcome	iid_collision	ar1_collision	iid_repaired_collision	ar1_repaired_collision	repair_delta	iid_safe_to_collision	ar1_safe_to_collision	safe_harm_delta	iid_lost_overtake	ar1_lost_overtake	overtake_loss_delta
5	collision	1	L2:e89e470334115a28dd6dbb25476022236726e430cc6d5fc411b9ad74e6e9caaf	L4:7b2e2e6fbf6cb10fcaccf9855942410bca7c32b7c927b5513ca3e636e489b675	Austin	follow	follow	0	0	1	1	0	0	0	0	0	0	0
5	collision	2	L2:e89e470334115a28dd6dbb25476022236726e430cc6d5fc411b9ad74e6e9caaf	L4:7b2e2e6fbf6cb10fcaccf9855942410bca7c32b7c927b5513ca3e636e489b675	Austin	follow	follow	0	0	1	1	0	0	0	0	0	0	0
5	collision	3	L2:e89e470334115a28dd6dbb25476022236726e430cc6d5fc411b9ad74e6e9caaf	L4:7b2e2e6fbf6cb10fcaccf9855942410bca7c32b7c927b5513ca3e636e489b675	Austin	follow	follow	0	0	1	1	0	0	0	0	0	0	0
5	overtake	0	L2:f23b3810fc730ee24c1b8b9ca5646ec42a66e2655ffe53437940ccfb144c249b	L4:7b2e2e6fbf6cb10fcaccf9855942410bca7c32b7c927b5513ca3e636e489b675	Austin	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
5	overtake	1	L2:f23b3810fc730ee24c1b8b9ca5646ec42a66e2655ffe53437940ccfb144c249b	L4:7b2e2e6fbf6cb10fcaccf9855942410bca7c32b7c927b5513ca3e636e489b675	Austin	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
5	overtake	2	L2:f23b3810fc730ee24c1b8b9ca5646ec42a66e2655ffe53437940ccfb144c249b	L4:7b2e2e6fbf6cb10fcaccf9855942410bca7c32b7c927b5513ca3e636e489b675	Austin	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
5	overtake	3	L2:f23b3810fc730ee24c1b8b9ca5646ec42a66e2655ffe53437940ccfb144c249b	L4:7b2e2e6fbf6cb10fcaccf9855942410bca7c32b7c927b5513ca3e636e489b675	Austin	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
5	follow	0	L2:0c3cbf585091c485db2ce546fe94e8a50a89b8b5fdbceba85162eeda58c6b4a6	L4:7b2e2e6fbf6cb10fcaccf9855942410bca7c32b7c927b5513ca3e636e489b675	Austin	follow	follow	0	0	0	0	0	0	0	0	0	0	0
5	follow	1	L2:0c3cbf585091c485db2ce546fe94e8a50a89b8b5fdbceba85162eeda58c6b4a6	L4:7b2e2e6fbf6cb10fcaccf9855942410bca7c32b7c927b5513ca3e636e489b675	Austin	follow	follow	0	0	0	0	0	0	0	0	0	0	0
5	follow	2	L2:0c3cbf585091c485db2ce546fe94e8a50a89b8b5fdbceba85162eeda58c6b4a6	L4:7b2e2e6fbf6cb10fcaccf9855942410bca7c32b7c927b5513ca3e636e489b675	Austin	follow	follow	0	0	0	0	0	0	0	0	0	0	0
5	follow	3	L2:0c3cbf585091c485db2ce546fe94e8a50a89b8b5fdbceba85162eeda58c6b4a6	L4:7b2e2e6fbf6cb10fcaccf9855942410bca7c32b7c927b5513ca3e636e489b675	Austin	follow	follow	0	0	0	0	0	0	0	0	0	0	0
6	collision	0	L2:5cfbd5af4a476a268e8216c123fbcc7ce9cf0b11ca5d14e620422baca9c0c400	L4:56a5605b7ba9cd57f558b13456e596aa260c13a689ba6b696a7863a2b8819f78	Hockenheim	collision	collision	1	1	0	0	0	0	0	0	0	0	0
