scenario_id,startpoint,ego_idx,opponent_raceline,opponent_speed_scale,unique_policy_panels,collision_panels,collision_rate,opponent_collision_panels,merge_tail_panels,merge_tail_rate,overtake_panels,follow_panels
evaluation-sp19-ego812-raceline1-v0.8,19,812,raceline1,0.8,86,1,0.011627906976744186,0,0,0.0,0,85
evaluation-sp21-ego898-raceline0-v0.8,21,898,raceline0,0.8,86,1,0.011627906976744186,0,0,0.0,17,68
evaluation-sp22-ego941-raceline0-v0.8,22,941,raceline0,0.8,86,1,0.011627906976744186,0,0,0.0,10,75
evaluation-sp23-ego983-raceline0-v0.8,23,983,raceline0,0.8,86,1,0.011627906976744186,1,0,0.0,81,4
evaluation-sp25-ego1069-raceline1-v0.5,25,1069,raceline1,0.5,86,1,0.011627906976744186,1,0,0.0,1,84
evaluation-sp30-ego1283-raceline1-v0.7,30,1283,raceline1,0.7,86,1,0.011627906976744186,1,0,0.0,0,85
evaluation-sp33-ego1411-raceline0-v0.8,33,1411,raceline0,0.8,86,1,0.011627906976744186,0,0,0.0,85,0
evaluation-sp37-ego1582-raceline0-v0.8,37,1582,raceline0,0.8,86,1,0.011627906976744186,0,0,0.0,85,0
evaluation-sp37-ego1582-raceline2-v0.8,37,1582,raceline2,0.8,86,1,0.011627906976744186,1,0,0.0,85,0
evaluation-sp4-ego171-raceline2-v0.7,4,171,raceline2,0.7,86,1,0.011627906976744186,1,0,0.0,85,0
evaluation-sp42-ego1796-raceline2-v0.5,42,1796,raceline2,0.5,86,1,0.011627906976744186,1,0,0.0,85,0
evaluation-sp42-ego1796-raceline2-v0.7,42,1796,raceline2,0.7,86,1,0.011627906976744186,1,0,0.0,83,2
evaluation-sp46-ego1967-raceline1-v0.8,46,1967,raceline1,0.8,86,1,0.011627906976744186,0,0,0.0,0,85
evaluation-sp47-ego2010-raceline1-v0.8,47,2010,raceline1,0.8,86,1,0.011627906976744186,0,0,0.0,0,85
evaluation-sp7-ego299-raceline0-v0.7,7,299,raceline0,0.7,86,1,0.011627906976744186,0,0,0.0,85,0
evaluation-sp9-ego384-raceline1-v0.5,9,384,raceline1,0.5,86,1,0.011627906976744186,0,0,0.0,0,85
evaluation-sp0-ego0-raceline0-v0.5,0,0,raceline0,0.5,86,0,0.0,0,0,0.0,86,0
evaluation-sp0-ego0-raceline0-v0.6,0,0,raceline0,0.6,86,0,0.0,0,0,0.0,86,0
evaluation-sp0-ego0-raceline0-v0.7,0,0,raceline0,0.7,86,0,0.0,0,0,0.0,86,0
evaluation-sp0-ego0-raceline0-v0.8,0,0,raceline0,0.8,86,0,0.0,0,0,0.0,0,86
evaluation-sp0-ego0-raceline1-v0.5,0,0,raceline1,0.5,86,0,0.0,0,0,0.0,0,86
evaluation-sp0-ego0-raceline1-v0.6,0,0,raceline1,0.6,86,0,0.0,0,0,0.0,0,86
evaluation-sp0-ego0-raceline1-v0.7,0,0,raceline1,0.7,86,0,0.0,0,0,0.0,0,86
evaluation-sp0-ego0-raceline1-v0.8,0,0,raceline1,0.8,86,0,0.0,0,0,0.0,0,86
evaluation-sp0-ego0-raceline2-v0.5,0,0,raceline2,0.5,86,0,0.0,0,0,0.0,86,0
evaluation-sp0-ego0-raceline2-v0.6,0,0,raceline2,0.6,86,0,0.0,0,0,0.0,86,0
evaluation-sp0-ego0-raceline2-v0.7,0,0,raceline2,0.7,86,0,0.0,0,0,0.0,86,0
evaluation-sp0-ego0-raceline2-v0.8,0,0,raceline2,0.8,86,0,0.0,0,0,0.0,83,3
evaluation-sp1-ego42-raceline0-v0.5,1,42,raceline0,0.5,86,0,0.0,0,0,0.0,86,0
evaluation-sp1-ego42-raceline0-v0.6,1,42,raceline0,0.6,86,0,0.0,0,0,0.0,86,0
evaluation-sp1-ego42-raceline0-v0.7,1,42,raceline0,0.7,86,0,0.0,0,0,0.0,86,0
evaluation-sp1-ego42-raceline0-v0.8,1,42,raceline0,0.8,86,0,0.0,0,0,0.0,0,86
evaluation-sp1-ego42-raceline1-v0.7,1,42,raceline1,0.7,86,0,0.0,0,0,0.0,0,86
evaluation-sp1-ego42-raceline1-v0.8,1,42,raceline1,0.8,86,0,0.0,0,0,0.0,0,86
evaluation-sp1-ego42-raceline2-v0.5,1,42,raceline2,0.5,86,0,0.0,0,0,0.0,86,0
evaluation-sp10-ego427-raceline0-v0.5,10,427,raceline0,0.5,86,0,0.0,0,0,0.0,86,0
evaluation-sp10-ego427-raceline0-v0.7,10,427,raceline0,0.7,86,0,0.0,0,0,0.0,86,0
evaluation-sp10-ego427-raceline0-v0.8,10,427,raceline0,0.8,86,0,0.0,0,0,0.0,0,86
evaluation-sp10-ego427-raceline1-v0.7,10,427,raceline1,0.7,86,0,0.0,0,0,0.0,0,86
evaluation-sp10-ego427-raceline1-v0.8,10,427,raceline1,0.8,86,0,0.0,0,0,0.0,0,86
evaluation-sp10-ego427-raceline2-v0.6,10,427,raceline2,0.6,86,0,0.0,0,0,0.0,86,0
evaluation-sp10-ego427-raceline2-v0.8,10,427,raceline2,0.8,86,0,0.0,0,0,0.0,0,86
evaluation-sp11-ego470-raceline0-v0.5,11,470,raceline0,0.5,86,0,0.0,0,0,0.0,86,0
evaluation-sp11-ego470-raceline0-v0.7,11,470,raceline0,0.7,86,0,0.0,0,0,0.0,86,0
evaluation-sp11-ego470-raceline0-v0.8,11,470,raceline0,0.8,86,0,0.0,0,0,0.0,86,0
evaluation-sp11-ego470-raceline1-v0.6,11,470,raceline1,0.6,86,0,0.0,0,0,0.0,0,86
evaluation-sp11-ego470-raceline1-v0.7,11,470,raceline1,0.7,86,0,0.0,0,0,0.0,0,86
evaluation-sp11-ego470-raceline1-v0.8,11,470,raceline1,0.8,86,0,0.0,0,0,0.0,0,86
evaluation-sp11-ego470-raceline2-v0.5,11,470,raceline2,0.5,86,0,0.0,0,0,0.0,86,0
evaluation-sp11-ego470-raceline2-v0.6,11,470,raceline2,0.6,86,0,0.0,0,0,0.0,86,0
evaluation-sp11-ego470-raceline2-v0.8,11,470,raceline2,0.8,86,0,0.0,0,0,0.0,47,39
evaluation-sp12-ego513-raceline0-v0.5,12,513,raceline0,0.5,86,0,0.0,0,0,0.0,86,0
evaluation-sp12-ego513-raceline0-v0.6,12,513,raceline0,0.6,86,0,0.0,0,0,0.0,86,0
evaluation-sp12-ego513-raceline0-v0.7,12,513,raceline0,0.7,86,0,0.0,0,0,0.0,86,0
evaluation-sp12-ego513-raceline1-v0.5,12,513,raceline1,0.5,86,0,0.0,0,0,0.0,0,86
