panel,run,update,policy_sha256,trainable_actor_parameter_count,fixed_actor_parameter_count,actor_relative_l2_from_bc,actor_delta_rms_from_bc,actor_max_abs_delta_from_bc,gru_relative_l2_from_bc,head_relative_l2_from_bc,fixed_frontend_delta_l2,checkpoint_path
ppo_privilege_gru_0722_long45_clip020_u0040,ppo_privilege_gru_0722_long45_clip020,40,1befd76ef1c4a7fb56dbb82d55ebb1086e1a8196f6662a1429d8fbbc1ba5e46e,11300942,540,0.0009181607416090395,4.422813870637643e-05,0.002670079469680786,0.0003999990899533274,0.004511529564370868,0.0,post-trained/ppo_privilege_gru_0722_long45_clip020/checkpoints/actor_u0040.pth
ppo_privilege_gru_0722_long45_clip020_u0045,ppo_privilege_gru_0722_long45_clip020,45,5233f5096a610e3db618f944fa78cc20530998124a2478ecf4454850e54c2325,11300942,540,0.0009689534557285771,4.667484232105657e-05,0.0027273818850517273,0.0004256381482453387,0.004752169899710412,0.0,post-trained/ppo_privilege_gru_0722_long45_clip020/checkpoints/actor_u0045.pth
ppo_privilege_gru_0722_long45_clip025_u0001,ppo_privilege_gru_0722_long45_clip025,1,6850171c2b9e8c9f5d27d983c1351420853ab650cf1fcebc7dfc4442b54562ce,11300942,540,0.00013178253393361685,6.348012854132231e-06,0.0003559091128408909,4.891887709126286e-05,0.0006671552181786564,0.0,post-trained/ppo_privilege_gru_0722_long45_clip025/checkpoints/actor_u0001.pth
ppo_privilege_gru_0722_long45_clip025_u0005,ppo_privilege_gru_0722_long45_clip025,5,32872d07b47f12e768f409abeb3883c682c70b92c94568e14ea842476b12d767,11300942,540,0.00031709313138028665,1.5274492103582323e-05,0.0009432807564735413,0.00013423515892393767,0.0015678133358379696,0.0,post-trained/ppo_privilege_gru_0722_long45_clip025/checkpoints/actor_u0005.pth
ppo_privilege_gru_0722_long45_clip025_u0010,ppo_privilege_gru_0722_long45_clip025,10,0b103011520f995dd78451e562c0dad29ddfaeae4f110f434fe22cc4f3578ee6,11300942,540,0.0004557247455551184,2.1952427657729693e-05,0.0013692229986190796,0.00019952190800486206,0.002236776025700612,0.0,post-trained/ppo_privilege_gru_0722_long45_clip025/checkpoints/actor_u0010.pth
ppo_privilege_gru_0722_long45_clip025_u0015,ppo_privilege_gru_0722_long45_clip025,15,e8dc817dbff19696c943cd7e63ce65b00e878869132ac2980c2f8bc2a0766f3a,11300942,540,0.0005474794821792085,2.6372286876787094e-05,0.0017462186515331268,0.00024286158141840813,0.0026789853881159,0.0,post-trained/ppo_privilege_gru_0722_long45_clip025/checkpoints/actor_u0015.pth
ppo_privilege_gru_0722_long45_clip025_u0020,ppo_privilege_gru_0722_long45_clip025,20,5a24e29a6f20a7e060b46adb3c252952ce67b332e50b5276ebcf4ab25c200aeb,11300942,540,0.0006387508360515459,3.0768861371913345e-05,0.002140253782272339,0.0002855986737221778,0.0031197511324314036,0.0,post-trained/ppo_privilege_gru_0722_long45_clip025/checkpoints/actor_u0020.pth
ppo_privilege_gru_0722_long45_clip025_u0025,ppo_privilege_gru_0722_long45_clip025,25,edf601e338cf74c7f6f9178d5e453e24895ce5539398127adcea4a32f486872b,11300942,540,0.0007333019708797594,3.532342411514178e-05,0.002543248236179352,0.0003184699208084941,0.003605711575396799,0.0,post-trained/ppo_privilege_gru_0722_long45_clip025/checkpoints/actor_u0025.pth
ppo_privilege_gru_0722_long45_clip025_u0030,ppo_privilege_gru_0722_long45_clip025,30,79d34081687db204b223e97e3ce28ee5c5e55d6f6c2ed62defe6c3dd049e5744,11300942,540,0.0008397782019856105,4.045242310722351e-05,0.0024950914084911346,0.00037503498375101435,0.004102766270198952,0.0,post-trained/ppo_privilege_gru_0722_long45_clip025/checkpoints/actor_u0030.pth
ppo_privilege_gru_0722_long45_clip025_u0035,ppo_privilege_gru_0722_long45_clip025,35,fb0218fd7298ae5aaf2e1044277ab3c67ae3352e46fc79e67a09d50dc9cec1d0,11300942,540,0.00090643409758863,4.366326197533034e-05,0.002830401062965393,0.00040297150538416026,0.004433184275650417,0.0,post-trained/ppo_privilege_gru_0722_long45_clip025/checkpoints/actor_u0035.pth
