variant	case_id	startpoint_ordinal	ego_idx	opp_raceline	opp_speedscale	bc_outcome	candidate_outcome	fixed_collision	new_collision	persistent_collision	gained_overtake	lost_overtake	collision_source_variant	collision_terminal_distance_m	collision_relative_progress_m	collision_phase_inferred	collision_cause_inferred	collision_final_time_s	label	history_policy	history_steps	last_0.5s_steer_signed_mean	last_0.5s_steer_abs_mean	last_0.5s_steer_abs_max	last_0.5s_speed_signed_mean	last_0.5s_speed_abs_mean	last_0.5s_speed_abs_max	last_1s_steer_signed_mean	last_1s_steer_abs_mean	last_1s_steer_abs_max	last_1s_speed_signed_mean	last_1s_speed_abs_mean	last_1s_speed_abs_max
seed1_iter20	sp17_ol2_s0.7	17	727	raceline2	0.7	collision	overtaking	1	0	0	1	0	BC	0.6363551879620637	0.574493408203125	alongside	opponent_proximity_inferred	2.240000009536743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp19_ol0_s0.6	19	812	raceline0	0.6	overtaking	following	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp19_ol2_s0.6	19	812	raceline2	0.6	overtaking	collision	0	1	0	0	1	seed1_iter20	0.6434214858736236	-0.59088134765625	alongside	opponent_proximity_inferred	3.240000009536743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp19_ol2_s0.7	19	812	raceline2	0.7	overtaking	collision	0	1	0	0	1	seed1_iter20	0.4461691791254037	-0.323974609375	alongside	opponent_proximity_inferred	5.590000152587891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp20_ol0_s0.7	20	855	raceline0	0.7	overtaking	following	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp20_ol2_s0.6	20	855	raceline2	0.6	overtaking	collision	0	1	0	0	1	seed1_iter20	0.6425327347974442	-0.5823211669921875	alongside	opponent_proximity_inferred	3.200000047683716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp20_ol2_s0.7	20	855	raceline2	0.7	overtaking	collision	0	1	0	0	1	seed1_iter20	0.38037289731525326	-0.194122314453125	alongside	opponent_proximity_inferred	5.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp20_ol2_s0.8	20	855	raceline2	0.8	following	overtaking	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp21_ol0_s0.7	21	898	raceline0	0.7	collision	overtaking	1	0	0	1	0	BC	0.4436810940296379	-0.2068939208984375	alongside	opponent_proximity_inferred	6.099999904632568	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp21_ol2_s0.6	21	898	raceline2	0.6	overtaking	collision	0	1	0	0	1	seed1_iter20	0.5436584266810678	-0.46173095703125	alongside	opponent_proximity_inferred	3.0199999809265137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp21_ol2_s0.8	21	898	raceline2	0.8	overtaking	following	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp22_ol2_s0.6	22	941	raceline2	0.6	overtaking	collision	0	1	0	0	1	seed1_iter20	0.562963638997946	-0.49224853515625	alongside	opponent_proximity_inferred	3.299999952316284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp23_ol0_s0.7	23	983	raceline0	0.7	overtaking	collision	0	1	0	0	1	seed1_iter20	0.3586486263466169	-0.130767822265625	alongside	opponent_proximity_inferred	4.849999904632568	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp23_ol0_s0.8	23	983	raceline0	0.8	overtaking	following	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
